,index,winner_name,winner_hand,winner_ht,winner_age,score,tourney_name,minutes,loser_name,loser_hand,loser_ht,loser_age,winner_rank,winner_rank_points,loser_rank,loser_rank_points
588,1010,Iga Swiatek,R,176.0,22.9,6-3 6-4,Rome,106.0,Yulia Putintseva,R,163.0,29.3,1.0,10910.0,41.0,1393.0
589,1011,Angelique Kerber,L,173.0,36.2,6-3 7-6(4),Rome,85.0,Aliaksandra Sasnovich,R,174.0,30.1,331.0,202.0,113.0,691.0
590,1012,Madison Keys,R,178.0,29.2,6-4 4-6 6-3,Rome,150.0,Beatriz Haddad Maia,L,185.0,27.9,16.0,2688.0,13.0,3035.0
591,1013,Sorana Cirstea,R,176.0,34.0,7-6(1) 6-3,Rome,97.0,Marketa Vondrousova,L,173.0,24.8,32.0,1619.0,6.0,4090.0
592,1014,Coco Gauff,R,175.0,20.1,6-1 0-6 6-3,Rome,124.0,Jaqueline Cristian,R,180.0,25.9,3.0,7313.0,68.0,983.0
593,1016,Naomi Osaka,R,180.0,26.5,6-3 6-3,Rome,80.0,Daria Kasatkina,R,170.0,26.9,173.0,424.0,11.0,3313.0
594,1018,Maria Sakkari,R,172.0,28.7,7-6(4) 6-0,Rome,109.0,Anhelina Kalinina,R,179.0,27.2,8.0,3925.0,31.0,1666.0
595,1019,Victoria Azarenka,R,180.0,34.7,6-2 6-7(6) 6-3,Rome,174.0,Mayar Sherif,R,180.0,28.0,24.0,2024.0,80.0,854.0
596,1020,Danielle Collins,R,178.0,30.3,6-3 6-3,Rome,81.0,Caroline Garcia,R,177.0,30.5,15.0,2759.0,23.0,2068.0
597,1021,Irina Camelia Begu,R,181.0,33.6,6-2 6-0,Rome,78.0,Elise Mertens,R,179.0,28.4,161.0,471.0,30.0,1684.0
598,1023,Jelena Ostapenko,R,177.0,26.9,6-4 5-7 6-1,Rome,153.0,Sara Sorribes Tormo,R,176.0,27.5,10.0,3493.0,47.0,1266.0
599,1024,Elina Svitolina,R,174.0,29.6,6-3 6-3,Rome,73.0,Anna Kalinskaya,R,175.0,25.4,19.0,2400.0,26.0,1916.0
600,1025,Aryna Sabalenka,R,182.0,26.0,6-4 6-2,Rome,86.0,Dayana Yastremska,R,175.0,23.9,2.0,7498.0,33.0,1590.0
601,1026,Iga Swiatek,R,176.0,22.9,6-0 6-2,Rome,77.0,Bernarda Pera,L,175.0,29.4,1.0,10910.0,77.0,875.0
602,1027,Yulia Putintseva,R,163.0,29.3,6-3 6-2,Rome,74.0,Sloane Stephens,R,170.0,31.1,41.0,1393.0,35.0,1552.0
603,1028,Angelique Kerber,L,173.0,36.2,6-3 6-0,Rome,69.0,Veronika Kudermetova,R,175.0,27.0,331.0,202.0,25.0,2003.0
604,1029,Aliaksandra Sasnovich,R,174.0,30.1,6-0 6-1,Rome,59.0,Ekaterina Alexandrova,R,175.0,29.4,113.0,691.0,18.0,2450.0
605,1030,Beatriz Haddad Maia,L,185.0,27.9,4-6 6-3 6-4,Rome,136.0,Xin Yu Wang,R,182.0,22.6,13.0,3035.0,42.0,1371.0
606,1031,Madison Keys,R,178.0,29.2,6-0 4-6 6-3,Rome,107.0,Camila Osorio,R,162.0,22.3,16.0,2688.0,64.0,1027.0
607,1033,Marketa Vondrousova,L,173.0,24.8,6-2 3-6 6-4,Rome,146.0,Ana Bogdan,R,171.0,31.4,6.0,4090.0,63.0,1029.0
608,1034,Coco Gauff,R,175.0,20.1,6-3 6-3,Rome,88.0,Magdalena Frech,R,171.0,26.3,3.0,7313.0,55.0,1138.0
609,1038,Daria Kasatkina,R,170.0,26.9,7-5 6-1,Rome,95.0,Tatjana Maria,R,172.0,36.7,11.0,3313.0,65.0,1019.0
610,1039,Naomi Osaka,R,180.0,26.5,6-3 6-2,Rome,71.0,Marta Kostyuk,R,175.0,21.8,173.0,424.0,20.0,2235.0
611,1044,Victoria Azarenka,R,180.0,34.7,6-7(5) 6-4 6-3,Rome,171.0,Magda Linette,R,171.0,32.2,24.0,2024.0,51.0,1188.0
612,1045,Mayar Sherif,R,180.0,28.0,7-6(4) 2-6 6-4,Rome,161.0,Jasmine Paolini,R,160.0,28.3,80.0,854.0,12.0,3048.0
613,1048,Elise Mertens,R,179.0,28.4,6-1 6-4,Rome,96.0,Katerina Siniakova,R,174.0,27.9,30.0,1684.0,36.0,1510.0
614,1050,Sofia Kenin,R,170.0,25.4,7-5 2-6 6-4,Rome,137.0,Ons Jabeur,R,167.0,29.6,58.0,1094.0,9.0,3748.0
615,1052,Sara Sorribes Tormo,R,176.0,27.5,6-3 1-6 7-5,Rome,142.0,Anastasia Pavlyuchenkova,R,177.0,32.8,47.0,1266.0,21.0,2191.0
616,1053,Jelena Ostapenko,R,177.0,26.9,6-4 6-2,Rome,97.0,Anastasia Potapova,R,175.0,23.1,10.0,3493.0,43.0,1347.0
617,1054,Elina Svitolina,R,174.0,29.6,6-0 6-2,Rome,77.0,Sara Errani,R,164.0,37.0,19.0,2400.0,93.0,777.0
618,1055,Anna Kalinskaya,R,175.0,25.4,6-1 6-2,Rome,84.0,Clara Tauson,R,182.0,21.3,26.0,1916.0,78.0,872.0
619,1056,Dayana Yastremska,R,175.0,23.9,4-6 7-5 6-2,Rome,176.0,Laura Siegemund,R,168.0,36.1,33.0,1590.0,86.0,814.0
620,1058,Bernarda Pera,L,175.0,29.4,7-6(6) 6-3,Rome,102.0,Caroline Dolehide,R,178.0,25.6,77.0,875.0,54.0,1138.0
621,1059,Yulia Putintseva,R,163.0,29.3,6-3 6-4,Rome,102.0,Martina Trevisan,L,160.0,30.5,41.0,1393.0,87.0,808.0
